date,portfolio_lp_apy_pct,min,max,active_markets,strategy
2026-01-01,8.97952456848733,0.8023161588898245,32.40487215718367,10,Pendle_LP
2026-01-02,9.12282863681042,0.8463311595692941,35.55128336207582,10,Pendle_LP
2026-01-03,9.093007453536348,0.8517629901736727,35.26847856227067,10,Pendle_LP
2026-01-04,9.05475980155729,0.8402664826166537,35.37567759762128,10,Pendle_LP
2026-01-05,8.604618362884105,0.8479488361909179,33.86564337410237,10,Pendle_LP
2026-01-06,8.41449491344799,0.85092883081491,32.50260478950045,10,Pendle_LP
2026-01-07,8.10027655841152,0.8188059365899454,30.72595790624416,10,Pendle_LP
2026-01-08,6.734736640768245,0.1272003236211354,16.912610791599377,10,Pendle_LP
2026-01-09,6.279864709436923,0.1271269645411322,15.57908616476838,10,Pendle_LP
2026-01-10,6.224881267215602,0.1265005318944985,15.593217923970888,10,Pendle_LP
2026-01-11,6.273553906168629,0.1295994404243584,15.708670616360395,10,Pendle_LP
2026-01-12,6.107040002194644,0.1271998885764755,15.59479917920537,10,Pendle_LP
2026-01-13,6.125391910123756,0.1104304953011715,16.125155333077217,10,Pendle_LP
2026-01-14,6.196284565812446,0.1095185522976677,16.34850658739517,10,Pendle_LP
2026-01-15,5.817178442172162,0.10296623738132,14.77144093095999,10,Pendle_LP
2026-01-16,6.217764098019342,0.1033574590927017,14.734324802486196,11,Pendle_LP
2026-01-17,6.259009771475696,0.1029957952586823,14.6880232860062,11,Pendle_LP
2026-01-18,6.2331868736508715,0.1056742656280264,14.59182718685465,11,Pendle_LP
2026-01-19,6.183653050630548,0.1027298929612753,14.543548797367675,11,Pendle_LP
2026-01-20,7.369191261970144,0.0997022015898683,18.905654816968585,11,Pendle_LP
2026-01-21,7.436502748804096,0.1019523054299907,18.723725534470407,11,Pendle_LP
2026-01-22,7.719218045792666,0.1356533222962056,20.84116731597915,11,Pendle_LP
2026-01-23,7.623595648261979,0.1296361873155465,20.618410883276304,11,Pendle_LP
2026-01-24,7.607766533260832,0.1292904493196757,20.46553147716618,11,Pendle_LP
2026-01-25,7.603511622331783,0.1284036590929319,20.283387777660657,11,Pendle_LP
2026-01-26,7.648517297017528,0.1275210748833424,20.106785623099658,11,Pendle_LP
2026-01-27,6.652547613237457,0.128091313729131,16.05886976398516,11,Pendle_LP
2026-01-28,6.553949098042081,0.1284727836066344,16.004998923139002,11,Pendle_LP
2026-01-29,7.624118142642291,0.0535481151080606,18.457778779178348,11,Pendle_LP
2026-01-30,7.51834564932393,0.0479003335936411,18.305350311517778,11,Pendle_LP
2026-01-31,7.277774241930135,0.0480946865711906,17.61705185333479,11,Pendle_LP
2026-02-01,7.246983145487795,0.0498851333115783,17.279991615829324,11,Pendle_LP
2026-02-02,7.199551917447544,0.0497774166152783,16.681752110494074,11,Pendle_LP
2026-02-03,7.327262955869765,0.0497997262626865,17.078521969205607,11,Pendle_LP
2026-02-04,3.3135599638194164,-52.04027979584037,21.048346478066353,11,Pendle_LP
2026-02-05,7.566993852681318,0.0449434437128183,16.490446431127996,9,Pendle_LP
2026-02-06,7.6963136123540306,0.0364533778701718,16.852987295567253,9,Pendle_LP
2026-02-07,7.487860736781965,0.0391945816023538,16.339953255328858,9,Pendle_LP
2026-02-08,16.201947234909664,0.0297811088596282,94.4762241634028,10,Pendle_LP
2026-02-09,16.13083293070118,0.0385808754609862,93.03818684807013,10,Pendle_LP
2026-02-10,12.942053816318374,0.0345037112914067,58.57683565871685,10,Pendle_LP
2026-02-11,8.676700959494008,0.0348186049440995,19.195456951470085,10,Pendle_LP
2026-02-12,9.272812007564442,0.0450265405437005,24.95902885484671,11,Pendle_LP
2026-02-13,61.59894171544985,0.0281207463478526,639.0212022640839,12,Pendle_LP
2026-02-14,46.34764511430789,0.0195930027310272,461.63455462974434,12,Pendle_LP
2026-02-15,48.68429383483962,0.0292861037768276,442.841445024909,13,Pendle_LP
2026-02-16,40.248115442361,0.0006486729562435,336.2299573231524,13,Pendle_LP
2026-02-17,19.02930894475677,1.2598750275182504,106.09354532204767,13,Pendle_LP
2026-02-18,18.73567302411779,1.764977679689112,100.8740603059371,13,Pendle_LP
