date,portfolio_fee_apy_pct,min,max,active_pools,strategy
2025-11-01,5.069537953351068,0.0411514776031249,12.762022637389697,13,Uniswap_V4_MM
2025-11-02,8.977599940431027,0.1487386478921916,26.819701902599917,13,Uniswap_V4_MM
2025-11-03,56.56044961180226,0.2061736594899778,271.64783650587174,13,Uniswap_V4_MM
2025-11-04,68.54118188211372,0.0029062502019261,286.999517243158,13,Uniswap_V4_MM
2025-11-05,28.576385488622897,0.0022197716026014,157.3472838740343,13,Uniswap_V4_MM
2025-11-06,29.95434559090377,0.0018605123315045,176.21877546386582,13,Uniswap_V4_MM
2025-11-07,33.81577038999623,0.003882944586606,168.13064073481138,13,Uniswap_V4_MM
2025-11-08,13.255003703507303,0.0011010136399599,44.26037340172451,13,Uniswap_V4_MM
2025-11-09,22.50240898774801,0.0017211409759963,121.10330765756204,13,Uniswap_V4_MM
2025-11-10,16.20187179781404,0.004054694469702,37.61466250235121,13,Uniswap_V4_MM
2025-11-11,19.595873344186696,0.0034417148443749,51.233035873846774,13,Uniswap_V4_MM
2025-11-12,21.267089005144477,0.0037810031297035,41.5127516036843,13,Uniswap_V4_MM
2025-11-13,44.07957447184435,0.005368306965727,82.30423878261092,13,Uniswap_V4_MM
2025-11-14,41.59119633724692,0.0079249372649497,99.39385445567946,13,Uniswap_V4_MM
2025-11-15,10.057557946270386,0.0023058707134926,22.217905099710407,13,Uniswap_V4_MM
2025-11-16,20.528384183466493,0.0042816102856874,55.34115974734944,13,Uniswap_V4_MM
2025-11-17,29.60531156105967,0.0037604061843194,63.74474851644123,13,Uniswap_V4_MM
2025-11-18,29.895485617811858,0.0041041784138971,60.600629852622546,13,Uniswap_V4_MM
2025-11-19,21.711621478116815,0.0045869409094982,57.363743127252675,13,Uniswap_V4_MM
2025-11-20,23.095637378291453,0.0027808244629266,63.285267269877274,13,Uniswap_V4_MM
2025-11-21,38.18691901930553,0.0002564959182766,117.25894027017657,13,Uniswap_V4_MM
2025-11-22,7.84264898707294,1.372930573686835,29.839778458856188,12,Uniswap_V4_MM
2025-11-23,8.73364681715242,0.0005060317734836,31.318108469247623,13,Uniswap_V4_MM
2025-11-24,15.523031649062023,0.0010674221958107,49.73558565921967,13,Uniswap_V4_MM
2025-11-25,11.610300111028014,0.0005614092129305,34.536737603510446,13,Uniswap_V4_MM
2025-11-26,10.152508833352774,0.0006356210344008,31.415366129760393,13,Uniswap_V4_MM
2025-11-27,7.923418445645087,0.000221294979036,25.139449119006972,13,Uniswap_V4_MM
2025-11-28,11.167313746520408,0.0002287625393107,35.79074362344852,13,Uniswap_V4_MM
2025-11-29,4.140370829593044,0.0001024046634086,16.018155931858825,13,Uniswap_V4_MM
2025-11-30,4.209255239886133,0.0001469157094393,14.98036854320717,13,Uniswap_V4_MM
2025-12-01,16.988793360548105,0.0015055947195607,49.64552114037457,13,Uniswap_V4_MM
2025-12-02,13.820038819948191,0.001153135632664,41.688019214461434,13,Uniswap_V4_MM
2025-12-03,17.25010547956093,0.009673142858038,53.287333916984934,13,Uniswap_V4_MM
2025-12-04,13.387095559779466,0.003550579590203,39.47714037056302,13,Uniswap_V4_MM
2025-12-05,14.491227012683225,0.0119014682041947,44.96029670914274,13,Uniswap_V4_MM
2025-12-06,4.320727047048149,0.000842390459089,12.484709332018532,13,Uniswap_V4_MM
2025-12-07,13.263558746680145,0.0069804302408917,35.849897262964525,13,Uniswap_V4_MM
