timestamp_unix,open,high,low,close,volume_usd,date,chain,pool_label,pool_address,fee_pct,tvl_usd_snapshot,fee_apy_pct
1761955200,109587.496113672,110805.500005852,109360.562028437,109978.11966067,1113630.4688029366,2025-11-01,unichain,WBTC/USDT,0x05dbb214bd7b9461f9c2f6690b612629b65b9f81d7312fdd3e552d2dda85f771,0.05,2918728.0024,6.9632237190111095
1762041600,109978.11966067,111201.026456847,109541.476489649,110628.481259192,1926919.2751828458,2025-11-02,unichain,WBTC/USDT,0x05dbb214bd7b9461f9c2f6690b612629b65b9f81d7312fdd3e552d2dda85f771,0.05,2918728.0024,12.04849398202592
1762128000,110628.481259192,110636.181260389,105223.230429687,106556.578121321,4556327.023039,2025-11-03,unichain,WBTC/USDT,0x05dbb214bd7b9461f9c2f6690b612629b65b9f81d7312fdd3e552d2dda85f771,0.05,2918728.0024,28.48945434521033
1762214400,106556.578121321,107267.91146331,98409.2023975384,101396.194246454,7476778.7395894565,2025-11-04,unichain,WBTC/USDT,0x05dbb214bd7b9461f9c2f6690b612629b65b9f81d7312fdd3e552d2dda85f771,0.05,2918728.0024,46.750232253675925
1762300800,101396.194246454,104569.271564118,93680.4156190139,103835.819315825,3950760.4564950443,2025-11-05,unichain,WBTC/USDT,0x05dbb214bd7b9461f9c2f6690b612629b65b9f81d7312fdd3e552d2dda85f771,0.05,2918728.0024,24.703013871709636
1762387200,103835.819315825,104000.811848792,100123.828206551,101173.842418403,3492378.05943825,2025-11-06,unichain,WBTC/USDT,0x05dbb214bd7b9461f9c2f6690b612629b65b9f81d7312fdd3e552d2dda85f771,0.05,2918728.0024,21.836875355408093
1762473600,101173.842418403,103878.938804256,99222.2273322289,103232.853683259,3256599.8548531565,2025-11-07,unichain,WBTC/USDT,0x05dbb214bd7b9461f9c2f6690b612629b65b9f81d7312fdd3e552d2dda85f771,0.05,2918728.0024,20.362619367820443
1762560000,103232.853683259,104856.221647105,87312.3522546408,102000.604295758,1218930.84777602,2025-11-08,unichain,WBTC/USDT,0x05dbb214bd7b9461f9c2f6690b612629b65b9f81d7312fdd3e552d2dda85f771,0.05,2918728.0024,7.621637903093551
1762646400,102000.604295758,105182.159269091,100042.798694981,104807.519844119,1968176.5195323345,2025-11-09,unichain,WBTC/USDT,0x05dbb214bd7b9461f9c2f6690b612629b65b9f81d7312fdd3e552d2dda85f771,0.05,2918728.0024,12.306464135037452
1762732800,104807.519844119,106593.845838113,104202.005550926,105811.449414597,2104802.8033741023,2025-11-10,unichain,WBTC/USDT,0x05dbb214bd7b9461f9c2f6690b612629b65b9f81d7312fdd3e552d2dda85f771,0.05,2918728.0024,13.160750549551576
