timestamp_unix,open,high,low,close,volume_usd,date,chain,pool_label,pool_address,fee_pct,tvl_usd_snapshot,fee_apy_pct
1767225600,2968.79,3005.47,2967.55,3005.19,173729.294598811,2026-01-01,arbitrum,ETH/USDT,0xe88bba0ec2fc9091d68344b32b504abcc59f0aa9e1ae2ef048b69bc7ec3f4df8,0.05,1502065.5685,2.1107997499699698
1767312000,3005.19,3144.27,2991.7,3123.32,1174833.0911265928,2026-01-02,arbitrum,ETH/USDT,0xe88bba0ec2fc9091d68344b32b504abcc59f0aa9e1ae2ef048b69bc7ec3f4df8,0.05,1502065.5685,14.274146457182649
1767398400,3123.32,3133.27,3080.64,3126.32,338778.34261897416,2026-01-03,arbitrum,ETH/USDT,0xe88bba0ec2fc9091d68344b32b504abcc59f0aa9e1ae2ef048b69bc7ec3f4df8,0.05,1502065.5685,4.116135062579513
1767484800,3126.32,3159.48,3121.4,3140.56,509689.5318199259,2026-01-04,arbitrum,ETH/USDT,0xe88bba0ec2fc9091d68344b32b504abcc59f0aa9e1ae2ef048b69bc7ec3f4df8,0.05,1502065.5685,6.192695013309367
1767571200,3140.56,3255.69,3137.85,3226.34,1282959.0671696202,2026-01-05,arbitrum,ETH/USDT,0xe88bba0ec2fc9091d68344b32b504abcc59f0aa9e1ae2ef048b69bc7ec3f4df8,0.05,1502065.5685,15.587870108245259
1767657600,3226.34,3302.11,3187.86,3297.03,1257407.264344852,2026-01-06,arbitrum,ETH/USDT,0xe88bba0ec2fc9091d68344b32b504abcc59f0aa9e1ae2ef048b69bc7ec3f4df8,0.05,1502065.5685,15.277417348171873
1767744000,3297.03,3297.03,3127.26,3165.63,1146578.7553453462,2026-01-07,arbitrum,ETH/USDT,0xe88bba0ec2fc9091d68344b32b504abcc59f0aa9e1ae2ef048b69bc7ec3f4df8,0.05,1502065.5685,13.930858095594893
1767830400,3165.63,3177.38,3054.79,3104.56,1118075.7437622275,2026-01-08,arbitrum,ETH/USDT,0xe88bba0ec2fc9091d68344b32b504abcc59f0aa9e1ae2ef048b69bc7ec3f4df8,0.05,1502065.5685,13.58454833901657
1767916800,3104.56,3136.45,3060.77,3083.4,1171312.4522362787,2026-01-09,arbitrum,ETH/USDT,0xe88bba0ec2fc9091d68344b32b504abcc59f0aa9e1ae2ef048b69bc7ec3f4df8,0.05,1502065.5685,14.231370921216936
1768003200,3083.4,3098.0,3075.98,3082.64,122725.95888287823,2026-01-10,arbitrum,ETH/USDT,0xe88bba0ec2fc9091d68344b32b504abcc59f0aa9e1ae2ef048b69bc7ec3f4df8,0.05,1502065.5685,1.4911125030641614
