timestamp_unix,open,high,low,close,volume_usd,date,chain,pool_label,pool_address,fee_pct,tvl_usd_snapshot,fee_apy_pct
1767225600,2971.39696245292,3008.47557734425,2971.26648186406,3002.61663403203,2045448.87248352,2026-01-01,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,2.1469073330958657
1767312000,3002.61663403203,3148.38151763373,2995.1295092961,3124.50289906952,8197955.419636561,2026-01-02,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,8.604590827753643
1767398400,3124.50289906952,3134.99905992122,3079.7733039669,3126.5088192086,3242463.27257414,2026-01-03,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,3.403296103280884
1767484800,3126.5088192086,3163.38090419914,3121.13227468502,3143.79551880309,3335620.423516585,2026-01-04,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,3.5010740400355775
1767571200,3143.79551880309,3259.05234235107,3137.99236418233,3227.45807390291,8471092.633856002,2026-01-05,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,8.891276208179265
1767657600,3227.45807390291,3303.58141976841,3186.02271293674,3297.3368915818,9576300.959043765,2026-01-06,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,10.051305133792669
1767744000,3297.3368915818,3297.33811679617,3130.94536003834,3168.329579348,7315879.654057296,2026-01-07,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,7.678762294494359
1767830400,3168.329579348,3181.11677488216,3058.08755925171,3107.5580698041,6684731.0681935195,2026-01-08,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,7.016307443878217
1767916800,3107.5580698041,3141.07332354641,3063.10515654118,3087.09639108079,8402007.384613158,2026-01-09,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,8.818764188835495
1768003200,3087.09639108079,3101.4789505127,3073.63726879847,3087.23589618231,2509327.9333241642,2026-01-10,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,2.6337957470698634
1768089600,3087.23589618231,3144.6984584055,3086.3776946446,3121.66547554254,4590344.7831351105,2026-01-11,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,4.818035302141497
1768176000,3121.66547554254,3169.20898349848,3071.97908230149,3094.5739827082,7903587.164306263,2026-01-12,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,8.295621303019486
1768262400,3094.5739827082,3343.45483005031,3093.71618342113,3325.5900157272,9253637.812078506,2026-01-13,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,9.712637232747353
1768348800,3325.5900157272,3396.84093129918,3280.67662514826,3355.87894792835,7921219.081620183,2026-01-14,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,8.31412779960663
1768435200,3355.87894792835,3381.84426364321,3276.46902429086,3318.40472380138,7172512.3338465635,2026-01-15,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,7.528283661062176
1768521600,3318.40472380138,3324.67698635242,3255.19698770674,3296.48710297877,4618797.00009202,2026-01-16,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,4.847898807433349
1768608000,3296.48710297877,3336.84189359471,3285.34898221178,3310.03435809479,2755338.697986179,2026-01-17,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,2.892009150386135
1768694400,3310.03435809479,3366.22852761254,3281.64421164875,3282.93474686233,4047844.6512704236,2026-01-18,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,4.248626050718052
1768780800,3282.93474686233,3288.32644781453,3167.87649837128,3187.48316996647,28571350.738508664,2026-01-19,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,29.988548353438464
1768867200,3187.48316996647,3198.50045227727,2934.58054931361,2939.45014590859,13736827.730086857,2026-01-20,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,14.418202568607944
1768953600,2939.45014590859,3066.19588474082,2869.49232000611,2981.78357429608,21428551.525409263,2026-01-21,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,22.491451644873322
1769040000,2981.78357429608,3035.57259942145,2907.44134210981,2951.2223972791,11961051.710621102,2026-01-22,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,12.554344415312777
1769126400,2951.2223972791,3016.52594332866,2894.34140372974,2956.25340792994,11433965.390638387,2026-01-23,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,12.001113532464336
1769212800,2956.25340792994,2968.82142636541,2946.15486432576,2954.27716229446,2036727.0462064713,2026-01-24,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,2.137752886341375
1769299200,2954.27716229446,2958.40742431926,2788.62225315931,2817.79445845471,9566714.989231667,2026-01-25,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,10.041243680210874
1769385600,2817.79445845471,2948.20565617592,2813.23461280802,2931.1169978007,11213574.937852407,2026-01-26,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,11.769791261056962
1769472000,2931.1169978007,3033.04200283306,2903.08155382802,3027.27339849953,9712429.287601002,2026-01-27,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,10.194185706733498
1769558400,3027.27339849953,3043.5166588041,2985.93037718493,3009.89593604777,9675516.67415161,2026-01-28,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,10.155442151925397
1769644800,3009.89593604777,3011.41009135829,2759.88526265236,2824.11302458461,12039125.904040067,2026-01-29,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,12.636291248905934
1769731200,2824.11302458461,2827.55429869295,2641.06725223779,2705.95891925247,13965256.814234369,2026-01-30,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,14.657962203984805
1769817600,2705.95891925247,2713.21176467078,2215.47296559544,2448.06144759078,15587649.547360752,2026-01-31,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,16.36082894524995
1769904000,2448.06144759078,2475.14800693827,2197.5725786012,2268.74154164403,7445661.794282314,2026-02-01,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,7.814981895141557
1769990400,2268.74154164403,2391.55199839687,2152.31469326021,2346.18878164415,9166634.170492535,2026-02-02,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,9.621318032038037
1770076800,2346.18878164415,2357.47768676991,2113.9289964763,2231.79291542053,6925992.515147329,2026-02-03,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,7.269535953584037
1770163200,2231.79291542053,2292.61883573968,2078.38915698986,2148.28321026584,8646974.527662983,2026-02-04,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,9.075882204766469
1770249600,2148.28321026584,2171.02377814331,1801.46943118127,1824.16911330122,23495473.693366196,2026-02-05,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,24.660897392953686
1770336000,1824.16911330122,2091.99227515755,1718.36455333315,2064.83026649912,19488454.8320734,2026-02-06,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,20.455122175156227
1770422400,2064.83026649912,2118.2591301689,1998.1644910058,2091.65058777942,9430058.716553377,2026-02-07,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,9.897808976037435
1770508800,2091.65058777942,2148.17079162316,2067.97281557371,2089.19831486465,5465672.359069673,2026-02-08,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,5.736780921704806
1770595200,2089.19831486465,2145.33559341657,2010.57682828693,2103.55897771784,7067260.473431083,2026-02-09,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,7.417811092430518
1770681600,2103.55897771784,2122.86752444848,1992.58924918287,2020.70884350294,8788114.240873963,2026-02-10,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,9.224022737321453
1770768000,2020.70884350294,2030.66098393484,1904.80390723855,1942.47252248344,7819999.935790822,2026-02-11,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,8.207887976478268
1770854400,1942.47252248344,1999.80247056812,1899.48193127939,1949.22989829378,5072678.273685354,2026-02-12,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,5.324293523400648
1770940800,1949.22989829378,2069.27727807631,1925.49039915127,2049.19442790583,9620307.099648828,2026-02-13,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,10.09749406925677
1771027200,2049.19442790583,2104.56993553871,2044.16283602258,2087.12376813591,7157218.321349478,2026-02-14,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,7.512231034167333
1771113600,2087.12376813591,2100.6894406651,1930.43592713299,1965.30273427054,12588534.707575072,2026-02-15,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,13.212951856288694
1771200000,1965.30273427054,2021.45159450112,1939.10695765924,1998.60250432614,4896008.036642042,2026-02-16,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,5.1388600801351885
1771286400,1998.60250432614,2013.56657629617,1943.53724751512,1993.29915180373,5429735.4501613695,2026-02-17,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,5.699061468384831
1771372800,1993.29915180373,2037.58275832163,1925.86527585284,1955.40437703501,5087091.738744474,2026-02-18,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,5.33942192589803
1771459200,1955.40437703501,1985.8589407457,1908.85695151898,1948.10063904874,4682756.294348574,2026-02-19,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,4.915030613906864
1771545600,1948.10063904874,1979.49836767297,1925.39549658531,1969.58720664829,5194834.676450349,2026-02-20,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,5.452509134364492
1771632000,1969.58720664829,1994.23760084276,1957.2326556408,1974.80341417508,2781825.499947617,2026-02-21,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,2.9198097520664037
1771718400,1974.80341417508,1983.6533586929,1935.95645352792,1957.76418342513,2760834.7268698947,2026-02-22,mainnet,ETH/USDT,0x72331fcb696b0151904c03584b66dc8365bc63f8a144d89a773384e3a579ca73,0.05,17387542.2322,2.8977777935783893
