,Date,Type,Chain,Market,APY %,Weight %
616,2026-02-16,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,5.88
617,2026-02-16,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,5.88
618,2026-02-16,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,5.88
619,2026-02-16,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,5.88
620,2026-02-16,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,5.88
621,2026-02-16,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,5.88
622,2026-02-16,Uniswap MM,arbitrum,ETH/USDC,8.34,5.88
623,2026-02-16,Uniswap MM,mainnet,USDC/cbBTC,13.82,5.88
624,2026-02-16,Uniswap MM,arbitrum,WBTC/USDC,13.78,5.88
625,2026-02-16,Uniswap MM,mainnet,WBTC/USDC,30.24,5.88
626,2026-02-16,Uniswap MM,arbitrum,WBTC/USDT,69.37,5.88
627,2026-02-16,Uniswap MM,mainnet,WBTC/USDT,14.11,5.88
628,2026-02-17,Pendle LP,arbitrum,PT-USDai-18JUN2026,45.47,5.56
629,2026-02-17,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,14.65,5.56
630,2026-02-17,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.38,5.56
631,2026-02-17,Pendle LP,ethereum,PT-sNUSD-5MAR2026,11.41,5.56
632,2026-02-17,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,106.09,5.56
633,2026-02-17,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,5.56
634,2026-02-17,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,5.56
635,2026-02-17,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,5.56
636,2026-02-17,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,5.56
637,2026-02-17,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,5.56
638,2026-02-17,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,5.56
639,2026-02-17,Uniswap MM,arbitrum,ETH/USDC,8.65,5.56
640,2026-02-17,Uniswap MM,mainnet,ETH/USDC,6.62,5.56
641,2026-02-17,Uniswap MM,mainnet,USDC/cbBTC,9.88,5.56
642,2026-02-17,Uniswap MM,arbitrum,WBTC/USDC,15.9,5.56
643,2026-02-17,Uniswap MM,mainnet,WBTC/USDC,10.9,5.56
644,2026-02-17,Uniswap MM,arbitrum,WBTC/USDT,76.82,5.56
645,2026-02-17,Uniswap MM,mainnet,WBTC/USDT,8.83,5.56
646,2026-02-18,Pendle LP,arbitrum,PT-USDai-18JUN2026,44.38,5.88
647,2026-02-18,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,13.76,5.88
648,2026-02-18,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.34,5.88
649,2026-02-18,Pendle LP,ethereum,PT-sNUSD-5MAR2026,11.27,5.88
650,2026-02-18,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,100.87,5.88
651,2026-02-18,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,5.88
652,2026-02-18,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,5.88
653,2026-02-18,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,5.88
654,2026-02-18,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,5.88
655,2026-02-18,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,5.88
656,2026-02-18,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,5.88
657,2026-02-18,Uniswap MM,arbitrum,ETH/USDC,9.07,5.88
658,2026-02-18,Uniswap MM,mainnet,ETH/USDC,6.65,5.88
659,2026-02-18,Uniswap MM,mainnet,USDC/cbBTC,11.69,5.88
660,2026-02-18,Uniswap MM,arbitrum,WBTC/USDC,12.48,5.88
661,2026-02-18,Uniswap MM,mainnet,WBTC/USDC,10.37,5.88
662,2026-02-18,Uniswap MM,arbitrum,WBTC/USDT,59.56,5.88
663,2026-02-19,Pendle LP,arbitrum,PT-USDai-18JUN2026,23.53,6.25
664,2026-02-19,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,13.11,6.25
665,2026-02-19,Pendle LP,ethereum,PT-reUSDe-25JUN2026,16.48,6.25
666,2026-02-19,Pendle LP,ethereum,PT-sNUSD-5MAR2026,11.34,6.25
667,2026-02-19,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,24.46,6.25
668,2026-02-19,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,6.25
669,2026-02-19,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,6.25
670,2026-02-19,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,6.25
671,2026-02-19,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,6.25
672,2026-02-19,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,6.25
673,2026-02-19,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,6.25
674,2026-02-19,Uniswap MM,arbitrum,ETH/USDC,10.16,6.25
675,2026-02-19,Uniswap MM,mainnet,USDC/cbBTC,9.82,6.25
676,2026-02-19,Uniswap MM,arbitrum,WBTC/USDC,11.58,6.25
677,2026-02-19,Uniswap MM,mainnet,WBTC/USDC,8.2,6.25
678,2026-02-19,Uniswap MM,arbitrum,WBTC/USDT,51.61,6.25
679,2026-02-20,Pendle LP,arbitrum,PT-USDai-18JUN2026,9.14,5.88
680,2026-02-20,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,13.03,5.88
681,2026-02-20,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.11,5.88
682,2026-02-20,Pendle LP,ethereum,PT-sNUSD-5MAR2026,11.21,5.88
683,2026-02-20,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,19.76,5.88
684,2026-02-20,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,5.88
685,2026-02-20,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,5.88
686,2026-02-20,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,5.88
687,2026-02-20,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,5.88
688,2026-02-20,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,5.88
689,2026-02-20,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,5.88
690,2026-02-20,Uniswap MM,arbitrum,ETH/USDC,12.08,5.88
691,2026-02-20,Uniswap MM,mainnet,USDC/cbBTC,14.78,5.88
692,2026-02-20,Uniswap MM,arbitrum,WBTC/USDC,16.18,5.88
693,2026-02-20,Uniswap MM,mainnet,WBTC/USDC,18.34,5.88
694,2026-02-20,Uniswap MM,arbitrum,WBTC/USDT,73.03,5.88
695,2026-02-20,Uniswap MM,mainnet,WBTC/USDT,6.82,5.88
696,2026-02-21,Pendle LP,arbitrum,PT-USDai-18JUN2026,9.15,7.69
697,2026-02-21,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,13.04,7.69
698,2026-02-21,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.1,7.69
699,2026-02-21,Pendle LP,ethereum,PT-sNUSD-5MAR2026,10.75,7.69
700,2026-02-21,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,15.58,7.69
701,2026-02-21,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,7.69
702,2026-02-21,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,7.69
703,2026-02-21,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,7.69
704,2026-02-21,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,7.69
705,2026-02-21,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,7.69
706,2026-02-21,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,7.69
707,2026-02-21,Uniswap MM,mainnet,WBTC/USDC,11.63,7.69
708,2026-02-21,Uniswap MM,arbitrum,WBTC/USDT,16.3,7.69
709,2026-02-22,Pendle LP,arbitrum,PT-USDai-18JUN2026,8.33,8.33
710,2026-02-22,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,12.97,8.33
711,2026-02-22,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.06,8.33
712,2026-02-22,Pendle LP,ethereum,PT-sNUSD-5MAR2026,10.64,8.33
713,2026-02-22,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,13.88,8.33
714,2026-02-22,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,8.33
715,2026-02-22,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,8.33
716,2026-02-22,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,8.33
717,2026-02-22,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,8.33
718,2026-02-22,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,8.33
719,2026-02-22,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,8.33
720,2026-02-22,Uniswap MM,arbitrum,WBTC/USDT,14.88,8.33
721,2026-02-23,Pendle LP,arbitrum,PT-USDai-18JUN2026,9.32,5.26
722,2026-02-23,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,12.81,5.26
723,2026-02-23,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.04,5.26
724,2026-02-23,Pendle LP,ethereum,PT-sNUSD-5MAR2026,10.46,5.26
725,2026-02-23,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,13.8,5.26
726,2026-02-23,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,5.26
727,2026-02-23,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,5.26
728,2026-02-23,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,5.26
729,2026-02-23,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,5.26
730,2026-02-23,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,5.26
731,2026-02-23,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,5.26
732,2026-02-23,Uniswap MM,arbitrum,ETH/USDC,7.88,5.26
733,2026-02-23,Uniswap MM,mainnet,ETH/USDC,7.54,5.26
734,2026-02-23,Uniswap MM,mainnet,USDC/cbBTC,41.45,5.26
735,2026-02-23,Uniswap MM,arbitrum,WBTC/USDC,17.31,5.26
736,2026-02-23,Uniswap MM,mainnet,WBTC/USDC,16.69,5.26
737,2026-02-23,Uniswap MM,unichain,WBTC/USDC,7.81,5.26
738,2026-02-23,Uniswap MM,arbitrum,WBTC/USDT,31.59,5.26
739,2026-02-23,Uniswap MM,mainnet,WBTC/USDT,8.06,5.26
740,2026-02-24,Pendle LP,arbitrum,PT-USDai-18JUN2026,9.22,5.88
741,2026-02-24,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,12.45,5.88
742,2026-02-24,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.07,5.88
743,2026-02-24,Pendle LP,ethereum,PT-sNUSD-5MAR2026,10.29,5.88
744,2026-02-24,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,11.95,5.88
745,2026-02-24,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,5.88
746,2026-02-24,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,5.88
747,2026-02-24,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,5.88
748,2026-02-24,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,5.88
749,2026-02-24,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,5.88
750,2026-02-24,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,5.88
751,2026-02-24,Uniswap MM,arbitrum,ETH/USDC,6.94,5.88
752,2026-02-24,Uniswap MM,mainnet,USDC/cbBTC,42.99,5.88
753,2026-02-24,Uniswap MM,arbitrum,WBTC/USDC,17.01,5.88
754,2026-02-24,Uniswap MM,mainnet,WBTC/USDC,10.74,5.88
755,2026-02-24,Uniswap MM,arbitrum,WBTC/USDT,15.91,5.88
756,2026-02-24,Uniswap MM,mainnet,WBTC/USDT,7.03,5.88
757,2026-02-25,Pendle LP,arbitrum,PT-USDai-18JUN2026,9.87,4.76
758,2026-02-25,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,13.36,4.76
759,2026-02-25,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.25,4.76
760,2026-02-25,Pendle LP,ethereum,PT-sNUSD-5MAR2026,10.01,4.76
761,2026-02-25,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,12.19,4.76
762,2026-02-25,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,4.76
763,2026-02-25,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,4.76
764,2026-02-25,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,4.76
765,2026-02-25,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,4.76
766,2026-02-25,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,4.76
767,2026-02-25,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,4.76
768,2026-02-25,Uniswap MM,arbitrum,ETH/USDC,19.39,4.76
769,2026-02-25,Uniswap MM,mainnet,ETH/USDC,13.03,4.76
770,2026-02-25,Uniswap MM,arbitrum,ETH/USDT,15.15,4.76
771,2026-02-25,Uniswap MM,mainnet,ETH/USDT,9.2,4.76
772,2026-02-25,Uniswap MM,mainnet,USDC/cbBTC,26.17,4.76
773,2026-02-25,Uniswap MM,arbitrum,WBTC/USDC,35.31,4.76
774,2026-02-25,Uniswap MM,mainnet,WBTC/USDC,59.29,4.76
775,2026-02-25,Uniswap MM,unichain,WBTC/USDC,11.3,4.76
776,2026-02-25,Uniswap MM,arbitrum,WBTC/USDT,28.23,4.76
777,2026-02-25,Uniswap MM,mainnet,WBTC/USDT,9.65,4.76
778,2026-02-26,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,12.57,5.56
779,2026-02-26,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.21,5.56
780,2026-02-26,Pendle LP,ethereum,PT-sNUSD-5MAR2026,9.68,5.56
781,2026-02-26,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,11.57,5.56
782,2026-02-26,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,5.56
783,2026-02-26,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,5.56
784,2026-02-26,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,5.56
785,2026-02-26,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,5.56
786,2026-02-26,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,5.56
787,2026-02-26,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,5.56
788,2026-02-26,Uniswap MM,arbitrum,ETH/USDC,13.12,5.56
789,2026-02-26,Uniswap MM,mainnet,ETH/USDC,7.91,5.56
790,2026-02-26,Uniswap MM,arbitrum,ETH/USDT,10.6,5.56
791,2026-02-26,Uniswap MM,mainnet,ETH/USDT,9.9,5.56
792,2026-02-26,Uniswap MM,mainnet,USDC/cbBTC,13.23,5.56
793,2026-02-26,Uniswap MM,arbitrum,WBTC/USDC,26.1,5.56
794,2026-02-26,Uniswap MM,mainnet,WBTC/USDC,41.24,5.56
795,2026-02-26,Uniswap MM,arbitrum,WBTC/USDT,20.22,5.56
796,2026-02-27,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,12.33,5.26
797,2026-02-27,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.11,5.26
798,2026-02-27,Pendle LP,ethereum,PT-sNUSD-5MAR2026,9.49,5.26
799,2026-02-27,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,12.64,5.26
800,2026-02-27,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,5.26
801,2026-02-27,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,5.26
802,2026-02-27,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,5.26
803,2026-02-27,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,5.26
804,2026-02-27,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,5.26
805,2026-02-27,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,5.26
806,2026-02-27,Uniswap MM,arbitrum,ETH/USDC,13.84,5.26
807,2026-02-27,Uniswap MM,mainnet,ETH/USDC,7.38,5.26
808,2026-02-27,Uniswap MM,arbitrum,ETH/USDT,9.3,5.26
809,2026-02-27,Uniswap MM,mainnet,ETH/USDT,8.25,5.26
810,2026-02-27,Uniswap MM,mainnet,USDC/cbBTC,14.77,5.26
811,2026-02-27,Uniswap MM,arbitrum,WBTC/USDC,23.83,5.26
812,2026-02-27,Uniswap MM,mainnet,WBTC/USDC,29.08,5.26
813,2026-02-27,Uniswap MM,unichain,WBTC/USDC,7.02,5.26
814,2026-02-27,Uniswap MM,arbitrum,WBTC/USDT,18.24,5.26
815,2026-02-28,Pendle LP,arbitrum,PT-USDai-18JUN2026,6.59,4.76
816,2026-02-28,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,14.15,4.76
817,2026-02-28,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.16,4.76
818,2026-02-28,Pendle LP,ethereum,PT-sNUSD-5MAR2026,9.25,4.76
819,2026-02-28,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,12.77,4.76
820,2026-02-28,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,4.76
821,2026-02-28,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,4.76
822,2026-02-28,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,4.76
823,2026-02-28,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,4.76
824,2026-02-28,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,4.76
825,2026-02-28,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,4.76
826,2026-02-28,Uniswap MM,arbitrum,ETH/USDC,33.8,4.76
827,2026-02-28,Uniswap MM,mainnet,ETH/USDC,16.86,4.76
828,2026-02-28,Uniswap MM,arbitrum,ETH/USDT,13.23,4.76
829,2026-02-28,Uniswap MM,mainnet,ETH/USDT,9.5,4.76
830,2026-02-28,Uniswap MM,mainnet,USDC/cbBTC,34.57,4.76
831,2026-02-28,Uniswap MM,arbitrum,WBTC/USDC,29.33,4.76
832,2026-02-28,Uniswap MM,mainnet,WBTC/USDC,31.14,4.76
833,2026-02-28,Uniswap MM,unichain,WBTC/USDC,7.7,4.76
834,2026-02-28,Uniswap MM,arbitrum,WBTC/USDT,21.58,4.76
835,2026-02-28,Uniswap MM,mainnet,WBTC/USDT,11.08,4.76
836,2026-03-01,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,13.9,5
837,2026-03-01,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.1,5
838,2026-03-01,Pendle LP,ethereum,PT-sNUSD-5MAR2026,8.91,5
839,2026-03-01,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,12.47,5
840,2026-03-01,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,5
841,2026-03-01,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,5
842,2026-03-01,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,5
843,2026-03-01,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,5
844,2026-03-01,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,5
845,2026-03-01,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,5
846,2026-03-01,Uniswap MM,arbitrum,ETH/USDC,39.95,5
847,2026-03-01,Uniswap MM,mainnet,ETH/USDC,47.23,5
848,2026-03-01,Uniswap MM,arbitrum,ETH/USDT,15.66,5
849,2026-03-01,Uniswap MM,mainnet,ETH/USDT,10.81,5
850,2026-03-01,Uniswap MM,mainnet,USDC/cbBTC,15.07,5
851,2026-03-01,Uniswap MM,arbitrum,WBTC/USDC,33.85,5
852,2026-03-01,Uniswap MM,mainnet,WBTC/USDC,35.12,5
853,2026-03-01,Uniswap MM,unichain,WBTC/USDC,9.02,5
854,2026-03-01,Uniswap MM,arbitrum,WBTC/USDT,26.52,5
855,2026-03-01,Uniswap MM,mainnet,WBTC/USDT,8.64,5
856,2026-03-02,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,13.82,5
857,2026-03-02,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.21,5
858,2026-03-02,Pendle LP,ethereum,PT-sNUSD-5MAR2026,8.88,5
859,2026-03-02,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,13.1,5
860,2026-03-02,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,5
861,2026-03-02,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,5
862,2026-03-02,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,5
863,2026-03-02,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,5
864,2026-03-02,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,5
865,2026-03-02,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,5
866,2026-03-02,Uniswap MM,arbitrum,ETH/USDC,42.31,5
867,2026-03-02,Uniswap MM,mainnet,ETH/USDC,42.93,5
868,2026-03-02,Uniswap MM,arbitrum,ETH/USDT,16.48,5
869,2026-03-02,Uniswap MM,mainnet,ETH/USDT,10.77,5
870,2026-03-02,Uniswap MM,mainnet,USDC/cbBTC,27.01,5
871,2026-03-02,Uniswap MM,arbitrum,WBTC/USDC,40.16,5
872,2026-03-02,Uniswap MM,mainnet,WBTC/USDC,87.61,5
873,2026-03-02,Uniswap MM,unichain,WBTC/USDC,9.8,5
874,2026-03-02,Uniswap MM,arbitrum,WBTC/USDT,29.42,5
875,2026-03-02,Uniswap MM,mainnet,WBTC/USDT,10.87,5
876,2026-03-03,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,13.44,4.76
877,2026-03-03,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.09,4.76
878,2026-03-03,Pendle LP,ethereum,PT-sNUSD-5MAR2026,8.73,4.76
879,2026-03-03,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,14.47,4.76
880,2026-03-03,Pendle LP,arbitrum,PT-thBILL-18JUN2026,7.27,4.76
881,2026-03-03,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,4.76
882,2026-03-03,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,4.76
883,2026-03-03,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,4.76
884,2026-03-03,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,4.76
885,2026-03-03,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,4.76
886,2026-03-03,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,4.76
887,2026-03-03,Uniswap MM,arbitrum,ETH/USDC,36.54,4.76
888,2026-03-03,Uniswap MM,mainnet,ETH/USDC,25.57,4.76
889,2026-03-03,Uniswap MM,arbitrum,ETH/USDT,15.75,4.76
890,2026-03-03,Uniswap MM,mainnet,ETH/USDT,10.1,4.76
891,2026-03-03,Uniswap MM,mainnet,USDC/cbBTC,24.5,4.76
892,2026-03-03,Uniswap MM,arbitrum,WBTC/USDC,42.42,4.76
893,2026-03-03,Uniswap MM,mainnet,WBTC/USDC,79.06,4.76
894,2026-03-03,Uniswap MM,unichain,WBTC/USDC,11.12,4.76
895,2026-03-03,Uniswap MM,arbitrum,WBTC/USDT,31.11,4.76
896,2026-03-03,Uniswap MM,mainnet,WBTC/USDT,10.61,4.76
897,2026-03-04,Pendle LP,arbitrum,PT-USDai-18JUN2026,11.28,4.55
898,2026-03-04,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,12.86,4.55
899,2026-03-04,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.05,4.55
900,2026-03-04,Pendle LP,ethereum,PT-sNUSD-5MAR2026,9.92,4.55
901,2026-03-04,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,14.83,4.55
902,2026-03-04,Pendle LP,arbitrum,PT-thBILL-18JUN2026,7.44,4.55
903,2026-03-04,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,4.55
904,2026-03-04,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,4.55
905,2026-03-04,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,4.55
906,2026-03-04,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,4.55
907,2026-03-04,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,4.55
908,2026-03-04,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,4.55
909,2026-03-04,Uniswap MM,arbitrum,ETH/USDC,47.09,4.55
910,2026-03-04,Uniswap MM,mainnet,ETH/USDC,37.27,4.55
911,2026-03-04,Uniswap MM,arbitrum,ETH/USDT,17.74,4.55
912,2026-03-04,Uniswap MM,mainnet,ETH/USDT,15.4,4.55
913,2026-03-04,Uniswap MM,mainnet,USDC/cbBTC,63.38,4.55
914,2026-03-04,Uniswap MM,arbitrum,WBTC/USDC,38.61,4.55
915,2026-03-04,Uniswap MM,mainnet,WBTC/USDC,66.85,4.55
916,2026-03-04,Uniswap MM,unichain,WBTC/USDC,11.74,4.55
917,2026-03-04,Uniswap MM,arbitrum,WBTC/USDT,42.63,4.55
918,2026-03-04,Uniswap MM,mainnet,WBTC/USDT,14.68,4.55
919,2026-03-05,Pendle LP,arbitrum,PT-USDai-18JUN2026,10.99,5
920,2026-03-05,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,12.35,5
921,2026-03-05,Pendle LP,ethereum,PT-reUSDe-25JUN2026,15.01,5
922,2026-03-05,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,14.18,5
923,2026-03-05,Pendle LP,arbitrum,PT-thBILL-18JUN2026,7.6,5
924,2026-03-05,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,5
925,2026-03-05,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,5
926,2026-03-05,Pendle PT,ethereum,PT-sNUSD-5MAR2026,13.57,5
927,2026-03-05,Pendle PT,arbitrum,PT-sUSDai-15OCT2026,7.61,5
928,2026-03-05,Pendle PT,ethereum,PT-srUSDe-2APR2026,7.08,5
929,2026-03-05,Pendle PT,arbitrum,PT-thBILL-18JUN2026,8,5
930,2026-03-05,Uniswap MM,arbitrum,ETH/USDC,42.71,5
931,2026-03-05,Uniswap MM,mainnet,ETH/USDC,24.73,5
932,2026-03-05,Uniswap MM,arbitrum,ETH/USDT,13.26,5
933,2026-03-05,Uniswap MM,mainnet,ETH/USDT,9.05,5
934,2026-03-05,Uniswap MM,mainnet,USDC/cbBTC,35.86,5
935,2026-03-05,Uniswap MM,arbitrum,WBTC/USDC,29.84,5
936,2026-03-05,Uniswap MM,mainnet,WBTC/USDC,18.45,5
937,2026-03-05,Uniswap MM,unichain,WBTC/USDC,7.38,5
938,2026-03-05,Uniswap MM,arbitrum,WBTC/USDT,34.07,5
939,2026-03-06,Pendle LP,arbitrum,PT-USDai-18JUN2026,10.35,5.56
940,2026-03-06,Pendle LP,ethereum,PT-jrNUSD-28MAY2026,12.47,5.56
941,2026-03-06,Pendle LP,ethereum,PT-reUSDe-25JUN2026,14.93,5.56
942,2026-03-06,Pendle LP,arbitrum,PT-sUSDai-15OCT2026,12.56,5.56
943,2026-03-06,Pendle LP,arbitrum,PT-thBILL-18JUN2026,7.39,5.56
944,2026-03-06,Pendle PT,ethereum,PT-jrNUSD-28MAY2026,11.75,5.56
945,2026-03-06,Pendle PT,ethereum,PT-reUSDe-25JUN2026,14.86,5.56
